n,k,N,output,time
20,4,22,6.000000210357924,0.21083831787109375
20,4,31,7.000000020212472,0.29821205139160156
20,4,44,8.02222449340785,0.7278444766998291
20,4,62,9.506288475547604,1.7623817920684814
20,4,88,10.396349847650018,5.469563722610474
20,4,124,12.376158005709959,19.14085817337036
20,4,175,14.238835664562163,76.25605607032776
20,4,246,16.615145322515694,327.92128443717957
20,4,347,19.405299609034095,1956.8472757339478
28,4,24,6.448332362421217,0.13447284698486328
28,4,34,7.413763427943042,0.3301224708557129
28,4,47,8.764407699735742,0.6729815006256104
28,4,67,10.947649300267623,1.8529455661773682
28,4,94,12.404858176821637,6.645080089569092
28,4,133,14.463684898206218,24.26907467842102
28,4,188,17.50711786341113,96.4823305606842
28,4,264,20.816088535752904,460.0765736103058
28,4,373,24.022839859431507,2889.9296536445618
36,4,24,7.000000855073036,0.13308119773864746
36,4,35,8.344348437208058,0.3428196907043457
36,4,49,8.660909030259079,0.783693790435791
36,4,69,12.545411213400854,2.009498357772827
36,4,97,14.374696604632428,6.665490388870239
36,4,137,16.555035246156216,27.149889945983887
36,4,193,19.577211901754687,112.14508247375488
36,4,273,22.948706506413455,494.67794942855835
36,4,384,26.964120739425773,3518.6739177703857
44,4,40,9.84292733163872,0.36958742141723633
44,4,57,11.988073524194082,1.0052671432495117
44,4,80,14.271534567019575,2.979414701461792
44,4,113,16.794103407380543,11.696854591369629
44,4,160,19.203315820156345,44.220975160598755
44,4,225,22.610183435914834,204.922048330307
44,4,317,26.726729879768996,1135.7830460071564
